Essai	Type	Methode	TailleStructure	Time	Memory
9	LinkedList	Add	250000	0.13	62900	
10	LinkedList	Add	250000	0.13	62780	
1	LinkedList	Add	500000	0.15	72904	
2	LinkedList	Add	500000	0.13	72584	
3	LinkedList	Add	500000	0.17	73284	
4	LinkedList	Add	500000	0.15	70980	
5	LinkedList	Add	500000	0.14	70500	
6	LinkedList	Add	500000	0.13	68740	
7	LinkedList	Add	500000	0.15	72360	
8	LinkedList	Add	500000	0.15	71248	
9	LinkedList	Add	500000	0.15	70816	
10	LinkedList	Add	500000	0.14	76320	
1	LinkedList	Remove	1000	0.08	55108	
2	LinkedList	Remove	1000	0.07	54132	
3	LinkedList	Remove	1000	0.07	50896	
4	LinkedList	Remove	1000	0.08	55996	
5	LinkedList	Remove	1000	0.07	54168	
6	LinkedList	Remove	1000	0.09	51292	
7	LinkedList	Remove	1000	0.08	56080	
8	LinkedList	Remove	1000	0.09	56036	
9	LinkedList	Remove	1000	0.08	53984	
10	LinkedList	Remove	1000	0.09	54256	
1	LinkedList	Remove	5000	0.08	49216	
2	LinkedList	Remove	5000	0.09	49320	
3	LinkedList	Remove	5000	0.07	53456	
4	LinkedList	Remove	5000	0.07	49112	
5	LinkedList	Remove	5000	0.07	52944	
6	LinkedList	Remove	5000	0.07	52904	
7	LinkedList	Remove	5000	0.09	48960	
8	LinkedList	Remove	5000	0.09	55980	
9	LinkedList	Remove	5000	0.07	56076	
10	LinkedList	Remove	5000	0.07	55364	
1	LinkedList	Remove	10000	0.07	52048	
2	LinkedList	Remove	10000	0.07	56004	
3	LinkedList	Remove	10000	0.09	52036	
4	LinkedList	Remove	10000	0.11	52632	
5	LinkedList	Remove	10000	0.09	52336	
6	LinkedList	Remove	10000	0.09	51064	
7	LinkedList	Remove	10000	0.09	50748	
8	LinkedList	Remove	10000	0.09	53264	
9	LinkedList	Remove	10000	0.09	49220	
10	LinkedList	Remove	10000	0.07	54284	
1	LinkedList	Remove	50000	0.10	53596	
2	LinkedList	Remove	50000	0.09	58864	
3	LinkedList	Remove	50000	0.12	54056	
4	LinkedList	Remove	50000	0.09	55968	
5	LinkedList	Remove	50000	0.11	51884	
6	LinkedList	Remove	50000	0.09	55828	
7	LinkedList	Remove	50000	0.08	53976	
8	LinkedList	Remove	50000	0.11	56848	
9	LinkedList	Remove	50000	0.12	55564	
10	LinkedList	Remove	50000	0.10	57072	
1	LinkedList	Remove	100000	0.13	59708	
2	LinkedList	Remove	100000	0.14	53972	
3	LinkedList	Remove	100000	0.10	56380	
4	LinkedList	Remove	100000	0.10	54440	
5	LinkedList	Remove	100000	0.11	52728	
6	LinkedList	Remove	100000	0.13	59148	
7	LinkedList	Remove	100000	0.12	57936	
8	LinkedList	Remove	100000	0.13	60744	
9	LinkedList	Remove	100000	0.11	57896	
10	LinkedList	Remove	100000	0.15	53960	
1	LinkedList	Remove	250000	0.14	60548	
2	LinkedList	Remove	250000	0.14	59000	
3	LinkedList	Remove	250000	0.15	62456	
4	LinkedList	Remove	250000	0.15	62768	
