Essai	Type	Methode	TailleStructure	Time	Memory
1	LinkedList	Remove	2500000	0.14	148388	
2	LinkedList	Remove	2500000	0.21	151664	
3	LinkedList	Remove	2500000	0.19	145012	
4	LinkedList	Remove	2500000	0.18	144468	
5	LinkedList	Remove	2500000	0.18	146452	
6	LinkedList	Remove	2500000	0.18	146476	
7	LinkedList	Remove	2500000	0.16	142164	
8	LinkedList	Remove	2500000	0.20	151996	
9	LinkedList	Remove	2500000	0.19	146264	
10	LinkedList	Remove	2500000	0.19	145760	
1	LinkedList	Remove	5000000	35.10	357120	
2	LinkedList	Remove	5000000	37.91	357268	
3	LinkedList	Remove	5000000	41.31	355124	
4	LinkedList	Remove	5000000	38.27	358072	
5	LinkedList	Remove	5000000	33.95	356836	
6	LinkedList	Remove	5000000	39.66	355244	
7	LinkedList	Remove	5000000	34.15	355076	
8	LinkedList	Remove	5000000	36.32	355528	
9	LinkedList	Remove	5000000	34.27	359996	
10	LinkedList	Remove	5000000	38.61	360432	
1	LinkedList	Remove	10000000	71.05	558664	
2	LinkedList	Remove	10000000	74.18	554500	
3	LinkedList	Remove	10000000	80.02	544976	
4	LinkedList	Remove	10000000	74.40	549856	
5	LinkedList	Remove	10000000	73.31	545932	
6	LinkedList	Remove	10000000	75.61	551784	
7	LinkedList	Remove	10000000	77.47	554492	
8	LinkedList	Remove	10000000	77.29	554484	
9	LinkedList	Remove	10000000	77.36	549844	
10	LinkedList	Remove	10000000	74.08	554404	
1	LinkedList	Remove	15000000	92.63	784060	
2	LinkedList	Remove	15000000	87.50	785640	
3	LinkedList	Remove	15000000	91.62	791888	
4	LinkedList	Remove	15000000	93.76	793140	
5	LinkedList	Remove	15000000	98.57	788536	
6	LinkedList	Remove	15000000	90.43	790092	
7	LinkedList	Remove	15000000	87.84	780824	
8	LinkedList	Remove	15000000	89.67	790060	
9	LinkedList	Remove	15000000	95.30	789484	
10	LinkedList	Remove	15000000	91.43	793060	
1	LinkedList	Remove	20000000	152.17	1277196	
2	LinkedList	Remove	20000000	148.05	1292124	
3	LinkedList	Remove	20000000	144.35	1275532	
4	LinkedList	Remove	20000000	147.39	1283756	
5	LinkedList	Remove	20000000	150.50	1288200	
6	LinkedList	Remove	20000000	149.73	1289716	
7	LinkedList	Remove	20000000	142.07	1278684	
8	LinkedList	Remove	20000000	151.04	1275544	
9	LinkedList	Remove	20000000	150.07	1285812	
10	LinkedList	Remove	20000000	149.24	1277096	
1	LinkedList	Get	500000	0.12	72340	
2	LinkedList	Get	500000	0.13	75652	
3	LinkedList	Get	500000	0.13	74644	
4	LinkedList	Get	500000	0.14	72688	
5	LinkedList	Get	500000	0.14	69276	
6	LinkedList	Get	500000	0.13	71212	
7	LinkedList	Get	500000	0.13	71064	
8	LinkedList	Get	500000	0.13	74656	
9	LinkedList	Get	500000	0.12	72636	
10	LinkedList	Get	500000	0.12	72172	
1	LinkedList	Get	1000000	0.17	92064	
2	LinkedList	Get	1000000	0.13	89608	
3	LinkedList	Get	1000000	0.13	89476	
4	LinkedList	Get	1000000	0.15	96128	
5	LinkedList	Get	1000000	0.16	94536	
6	LinkedList	Get	1000000	0.15	87016	
7	LinkedList	Get	1000000	0.16	93680	
8	LinkedList	Get	1000000	0.17	92952	
9	LinkedList	Get	1000000	0.14	95208	
10	LinkedList	Get	1000000	0.15	94676	
1	LinkedList	Get	2500000	0.18	142472	
2	LinkedList	Get	2500000	0.19	146436	
3	LinkedList	Get	2500000	0.18	148868	
4	LinkedList	Get	2500000	0.16	147208	
5	LinkedList	Get	2500000	0.14	144312	
6	LinkedList	Get	2500000	0.17	147448	
7	LinkedList	Get	2500000	0.17	151340	
8	LinkedList	Get	2500000	0.17	145012	
9	LinkedList	Get	2500000	0.21	151788	
10	LinkedList	Get	2500000	0.20	142560	
1	LinkedList	Get	5000000	37.20	356740	
2	LinkedList	Get	5000000	35.31	353196	
3	LinkedList	Get	5000000	37.96	355316	
4	LinkedList	Get	5000000	32.83	353824	
5	LinkedList	Get	5000000	34.73	356068	
6	LinkedList	Get	5000000	39.73	357384	
7	LinkedList	Get	5000000	37.42	358004	
8	LinkedList	Get	5000000	36.65	359880	
9	LinkedList	Get	5000000	40.15	361312	
10	LinkedList	Get	5000000	36.70	356900	
1	LinkedList	Get	10000000	69.97	548804	
2	LinkedList	Get	10000000	71.65	546304	
3	LinkedList	Get	10000000	71.35	551064	
4	LinkedList	Get	10000000	75.43	552552	
5	LinkedList	Get	10000000	73.23	550684	
6	LinkedList	Get	10000000	74.01	557364	
7	LinkedList	Get	10000000	72.70	557324	
8	LinkedList	Get	10000000	79.16	553744	
9	LinkedList	Get	10000000	73.31	554412	
10	LinkedList	Get	10000000	75.49	557680	
1	LinkedList	Get	15000000	85.14	784792	
2	LinkedList	Get	15000000	98.37	791400	
3	LinkedList	Get	15000000	96.97	789820	
4	LinkedList	Get	15000000	100.83	790840	
5	LinkedList	Get	15000000	89.74	793360	
6	LinkedList	Get	15000000	99.10	789560	
7	LinkedList	Get	15000000	89.77	781920	
8	LinkedList	Get	15000000	97.04	792288	
9	LinkedList	Get	15000000	90.06	787252	
10	LinkedList	Get	15000000	89.67	788720	
